i_init,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.01,247,490,18.40112207237207,35.87511778451433,8.5,15.307692307692308,4,5
0.01,255,501,22.171002331002335,35.94339762792508,9.473684210526315,15.923076923076923,3,5
0.01,183,500,6.0738644688644685,36.84996360983358,7.133333333333334,15.846153846153847,4,4
0.01,279,508,25.778382891618186,34.777125862785304,9.571428571428571,16.76,4,4
0.01,228,477,15.494603335261232,34.57690703001848,7.894736842105263,15.56,3,4
0.01,164,583,22.765683760683764,35.35153768977982,5.411764705882353,18.807692307692307,2,4
0.01,248,584,9.702358674463937,34.11419729434551,9.38888888888889,19.153846153846153,4,4
0.01,58,591,2.1,34.54832141714495,0.0,18.74074074074074,3,4
0.01,509,547,14.825373467921349,36.64071404534353,17.958333333333332,17.76923076923077,2,4
0.01,55,537,3.1,34.54305281195413,0.0,17.0,3,4
0.01,184,457,21.685829725829727,39.78841521306052,6.111111111111111,14.26923076923077,3,5
0.01,235,528,19.169734848484847,36.81951953019367,7.428571428571429,17.153846153846153,5,4
0.01,160,532,18.58270562770563,33.83041436578576,5.0,17.115384615384617,2,5
0.01,287,581,22.022811412443765,35.010287022532815,10.0,19.6,6,5
0.01,292,446,19.365656353450472,35.36237781954887,9.818181818181818,14.76,4,5
0.01,132,598,11.897354312354313,32.81234724511919,4.538461538461538,19.615384615384617,6,4
0.01,157,604,35.57694139194139,34.6842928288463,4.9411764705882355,19.923076923076923,3,4
0.01,164,549,23.661017316017315,39.29916766352872,5.5625,17.576923076923077,2,4
0.01,100,487,10.971904761904762,34.1586339151045,4.0,15.346153846153847,3,5
0.01,160,588,30.63095238095238,37.120775784744936,5.466666666666667,19.307692307692307,4,4
0.0205,12,218,14.4,54.36730158730158,0.0,6.68,3,5
0.0205,5,722,0.0,33.454802584465156,0.0,23.076923076923077,2,4
0.0205,24,24,12.45,18.65,0.0,0.0,4,5
0.0205,26,15,44.81666666666666,5.9,0.0,0.0,3,5
0.0205,247,3,9.359780701754385,2.6,8.0625,0.0,4,2
0.0205,1,10,0.0,4.6,0.0,0.0,0,3
0.0205,388,643,19.001126853763772,32.20042764937192,12.090909090909092,19.846153846153847,5,4
