decay_rate,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA
0.01,455,781,18.561359620771388,38.14825586178528,15.384615384615385,24.925925925925927
0.01,176,763,15.002777777777776,37.176133134413185,6.0,24.77777777777778
0.01,200,452,35.03638888888889,41.225,7.0,13.5
0.01,428,776,23.233107196094814,42.98215361045604,14.653846153846153,24.642857142857142
0.01,204,603,19.44047619047619,41.780119047619046,6.541666666666667,18.857142857142858
0.01,160,703,18.852738095238095,40.368191311612364,4.869565217391305,22.77777777777778
0.01,420,765,13.241215492024315,40.28231225296443,14.23076923076923,24.48148148148148
0.01,196,805,20.893639334521687,42.01782106782107,6.782608695652174,26.214285714285715
0.01,315,659,10.759472880061116,40.84069491911597,11.333333333333334,21.464285714285715
0.01,348,679,16.471497625181833,46.88287337662338,11.76923076923077,21.85185185185185
0.01,189,834,33.39467338217339,44.40864271422827,7.0,27.535714285714285
0.01,288,840,28.186188197767144,37.40821572218631,9.076923076923077,27.285714285714285
0.01,313,516,16.16353912427442,37.60515151515152,11.291666666666666,15.714285714285714
0.01,369,537,22.17470054624213,35.610238095238095,12.56,16.857142857142858
0.01,378,688,22.511637309550355,39.451190476190476,13.04,21.571428571428573
0.01,302,775,10.830088906191847,35.29133534594062,10.708333333333334,25.037037037037038
0.01,436,743,20.110068649885584,50.28401080945198,15.115384615384615,24.666666666666668
0.01,442,675,22.286785714285717,37.09319773363891,15.115384615384615,21.703703703703702
0.01,316,647,17.938751248751252,39.41200216450216,11.291666666666666,20.571428571428573
0.01,373,653,18.356985377883213,36.56656565656566,13.12,20.321428571428573
0.0205,269,564,31.26480186480186,36.459649378399384,9.12,18.25925925925926
0.0205,377,484,21.307597402597402,40.85537878787879,12.76,15.25925925925926
0.0205,182,739,22.219781607281604,42.23286495911496,6.5,23.85185185185185
0.0205,364,665,20.60732794982795,46.0713574042057,13.208333333333334,21.444444444444443
0.0205,191,501,30.945411255411255,40.94837301587301,7.5,16.0
0.0205,130,616,11.51547619047619,36.47713952713953,3.8260869565217392,19.678571428571427
0.0205,213,682,27.621101953601954,41.885733069562015,7.857142857142857,22.285714285714285
0.0205,295,557,11.942103003915664,44.10111111111111,12.047619047619047,18.0
0.0205,122,634,15.083690476190474,41.96351688043639,4.666666666666667,20.333333333333332
0.0205,382,713,22.27224783670436,42.30803554340397,12.92,22.678571428571427
0.0205,116,505,14.74848484848485,36.72702380952381,3.8421052631578947,15.37037037037037
0.0205,379,367,26.166003371600357,36.16666666666667,13.916666666666666,10.88888888888889
0.0205,184,540,31.838954933954938,38.240343137254904,7.421052631578948,16.857142857142858
0.0205,149,753,21.506666666666668,40.09704581390003,4.458333333333333,24.77777777777778
0.0205,409,514,24.010590730219214,37.93853896103896,13.807692307692308,15.962962962962964
0.0205,420,614,23.355267195152106,40.936000999000996,14.461538461538462,20.035714285714285
0.0205,317,403,10.35353398825939,37.90161172161172,10.76,12.185185185185185
0.0205,277,592,11.788816817857064,45.72142156862744,10.636363636363637,18.62962962962963
0.0205,69,615,9.498333333333333,40.816450216450214,3.2222222222222223,19.59259259259259
0.0205,272,500,10.328423659673659,32.95904761904762,9.73913043478261,14.814814814814815
0.0311,77,504,8.43452380952381,39.457781385281386,3.6363636363636362,16.074074074074073
0.0311,371,567,23.434754493184833,39.172593795093796,12.96,18.51851851851852
0.0311,329,435,26.092963702963704,47.25681818181818,10.653846153846153,13.555555555555555
0.0311,321,591,17.22187836282785,43.70712451321281,11.04,19.185185185185187
0.0311,109,616,19.185,34.41612119147958,3.5,20.0
0.0311,306,639,18.17609477124183,46.461226784911,10.52,21.037037037037038
0.0311,178,593,27.79480158730159,38.30203970049558,6.95,18.962962962962962
0.0311,260,651,9.95336963689905,38.70177502322239,9.727272727272727,21.11111111111111
0.0311,196,539,22.869945054945056,47.17053502053502,7.380952380952381,17.703703703703702
0.0311,551,345,17.895039682539682,32.24523809523809,19.23076923076923,10.074074074074074
0.0311,298,459,10.234887028176502,37.67794871794872,11.173913043478262,14.555555555555555
0.0311,260,504,10.08243686868687,38.97222222222223,10.666666666666666,15.925925925925926
0.0311,208,303,6.997816014394962,40.376666666666665,9.882352941176471,9.037037037037036
0.0311,271,328,12.831964285714287,34.06416666666667,10.0,9.851851851851851
0.0311,93,256,12.299696969696969,36.775,4.5,7.333333333333333
0.0311,261,446,12.017260006075796,37.293174603174606,10.571428571428571,13.962962962962964
0.0311,265,406,10.346621809562986,36.445476190476185,10.85,12.444444444444445
0.0311,90,516,11.857380952380954,37.86680319680319,4.076923076923077,16.59259259259259
0.0311,370,552,19.988414786967418,43.85645947447805,12.96,17.925925925925927
0.0311,171,523,90.07936507936508,54.51654970760234,5.12,17.185185185185187
0.0416,243,513,11.178948412698414,44.633018476621416,10.31578947368421,17.0
0.0416,257,491,18.08882921000568,41.280405232022886,9.590909090909092,15.666666666666666
0.0416,99,447,10.49047619047619,36.40674603174604,3.05,14.296296296296296
0.0416,172,314,29.010528083028085,46.670476190476194,7.333333333333333,9.423076923076923
0.0416,351,366,23.81288015905663,34.21071428571429,12.36,11.148148148148149
0.0416,205,403,31.991930291930288,51.02126345876346,7.041666666666667,12.481481481481481
0.0416,317,138,19.400281385281385,27.15833333333334,11.041666666666666,3.4
0.0416,243,531,16.045767960110066,39.398935786435786,8.652173913043478,18.115384615384617
0.0416,443,352,19.95894504956862,37.62095238095238,16.166666666666668,10.592592592592593
0.0416,193,451,7.622770434074781,51.15565476190476,9.5625,14.777777777777779
