i,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.5,78,35,24.111666666666668,29.3,3.3076923076923075,0.0,2,5
0.5,149,135,20.5712987012987,41.70666666666666,6.470588235294118,4.136363636363637,4,5
0.5,97,73,5.757777777777777,35.24666666666666,5.363636363636363,2.2,2,5
0.5,37,59,8.025,37.266666666666666,0.0,1.3571428571428572,3,5
0.5,78,21,24.041666666666664,14.8,3.9,0.0,2,5
0.5,146,93,18.14527777777778,42.795,5.888888888888889,2.8,3,5
0.5,107,61,13.872222222222224,33.95,4.6,1.8461538461538463,2,6
0.5,149,79,17.44521645021645,31.21111111111111,6.9375,2.7857142857142856,3,6
0.5,137,112,24.576818181818183,45.68452380952381,5.105263157894737,3.4761904761904763,4,5
0.5,142,84,16.732705627705627,44.70833333333333,6.6,2.1176470588235294,3,5
0.5,135,47,19.964747474747476,37.28333333333333,5.764705882352941,1.5714285714285714,3,5
0.5,91,141,17.950714285714287,43.53666666666667,4.166666666666667,4.619047619047619,2,5
0.5,163,19,27.80155982905983,13.85,6.315789473684211,0.0,6,5
0.5,103,23,8.800649350649351,14.8,4.923076923076923,0.0,2,3
0.5,32,91,2.2333333333333334,43.535000000000004,0.0,2.9444444444444446,2,5
0.5,31,27,2.3666666666666663,20.25,0.0,0.0,3,4
0.5,243,39,13.91740552031089,23.366666666666667,9.571428571428571,1.0,3,4
0.5,150,75,24.77809523809524,38.61666666666667,4.7272727272727275,2.6153846153846154,3,6
0.5,28,47,3.175,25.433333333333334,0.0,1.375,3,4
0.5,78,60,32.025,31.125000000000007,2.6666666666666665,2.4,4,5
0.6053,127,169,17.080357142857146,40.09806277056278,5.111111111111111,6.15,3,4
0.6053,43,23,8.349999999999998,16.35,2.5,0.0,2,3
0.6053,149,84,21.071553446553445,35.6204761904762,5.7368421052631575,2.4,3,5
0.6053,52,59,14.118333333333334,38.0,3.3333333333333335,1.6923076923076923,3,4
0.6053,90,74,26.396666666666665,33.065000000000005,4.636363636363637,2.533333333333333,2,5
0.6053,117,78,7.014059829059829,21.8,6.076923076923077,1.95,3,5
0.6053,93,56,22.27916666666667,39.96666666666666,3.7333333333333334,1.4285714285714286,4,5
