decay_rate,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.01,229,594,38.52505558167323,36.60996031746032,8.136363636363637,18.214285714285715,3,6
0.01,201,441,30.632380952380952,32.90833333333333,7.318181818181818,13.392857142857142,5,6
0.01,420,467,21.882495822890558,36.0775,14.64,14.642857142857142,6,6
0.01,318,659,12.789874781651097,35.272116641528406,11.625,20.357142857142858,6,5
0.01,156,828,16.583888888888886,43.01055045640858,5.045454545454546,27.444444444444443,7,5
0.01,400,800,17.93501936659831,36.352803944421595,12.88888888888889,26.037037037037038,9,5
0.01,152,761,15.484166666666667,41.515754897276636,5.428571428571429,24.296296296296298,5,5
0.01,304,552,10.810692841729994,29.521666666666665,10.708333333333334,16.892857142857142,4,5
0.01,434,691,24.611048224221598,36.504891774891775,14.576923076923077,22.285714285714285,7,5
0.01,680,730,19.649519637131295,35.8625311942959,23.576923076923077,23.185185185185187,7,6
0.01,89,542,9.448095238095238,42.52571428571429,4.0,16.714285714285715,4,6
0.01,302,715,18.951918398938524,45.65901451489687,10.791666666666666,22.5,5,6
0.01,94,531,5.9833333333333325,33.27462121212121,2.4545454545454546,16.5,6,6
0.01,253,677,27.703322233322233,39.35717171717171,8.48,21.285714285714285,5,5
0.01,210,728,7.249341630591632,60.64728260869565,9.052631578947368,23.11111111111111,2,5
0.01,376,523,21.188070572358498,55.365476190476194,13.04,15.37037037037037,6,6
0.01,191,556,13.775595238095239,36.29222222222223,5.84,17.178571428571427,8,6
0.01,195,944,25.597132034632033,39.22393187368188,6.695652173913044,31.62962962962963,3,4
0.01,380,757,25.876927316835207,40.44904249259513,13.32,24.285714285714285,6,5
0.01,471,733,23.848961831941708,38.74666666666666,15.62962962962963,23.428571428571427,8,5
0.0205,215,546,31.563461538461535,38.69805957200694,7.363636363636363,16.77777777777778,5,6
0.0205,342,786,25.507872622733306,39.36703117215266,11.88,26.40740740740741,6,4
0.0205,376,584,25.034816754501538,43.73293956043956,13.28,18.333333333333332,6,5
0.0205,197,659,27.300648518148517,43.884120879120886,7.476190476190476,21.285714285714285,2,5
0.0205,283,677,12.266477684109264,42.40821428571429,10.434782608695652,22.037037037037038,3,5
0.0205,359,569,21.860337481146303,38.76922268907563,12.48,17.88888888888889,6,5
0.0205,131,707,9.145833333333332,46.79256525720656,5.055555555555555,23.333333333333332,6,5
0.0205,193,707,31.75581196581196,39.65678571428571,8.333333333333334,23.0,3,4
0.0205,367,666,16.052824250912487,36.17334097062358,11.923076923076923,21.821428571428573,8,5
0.0205,379,585,22.281534944658677,37.56520467836257,13.2,18.51851851851852,6,5
0.0205,369,626,19.789505951564777,45.84985507246377,12.44,20.185185185185187,7,5
0.0205,100,540,8.998809523809525,35.6176282051282,4.214285714285714,17.25925925925926,3,5
